labels,theta,radius,X,Y,Z,sph_theta,sph_phi,sph_radius,type,urchan
POz,180,0.37994444,-79.02553886,-9.68E-15,31.30438001,-180,21.61,85,,30
Pz,180,0.25337778,-60.73848095,-7.44E-15,59.46290383,-180,44.392,85,,31
CPz,180,0.12662222,-32.92788364,-4.03E-15,78.36296625,-180,67.208,85,,32
Fpz,0,0.50668889,84.98123361,0,-1.7860385,0,-1.204,85,,33
Fp2,17.926,0.51498889,80.78401377,-26.1330144,-4.00108454,-17.926,-2.698,85,,34
AF8,35.858,0.52231111,68.72089942,-49.66890403,-5.95297869,-35.858,-4.016,85,,35
AF4,22.461,0.42112778,76.15276677,-31.4827968,20.84681317,-22.461,14.197,85,,36
AFz,0,0.37994444,79.02553886,0,31.30438001,0,21.61,85,,37
Fz,0,0.25337778,60.73848095,0,59.46290383,0,44.392,85,,38
F2,23.493,0.27878333,59.87441277,-26.02543804,54.43097712,-23.493,39.819,85,,39
F4,39.897,0.3445,57.58402611,-48.14259647,39.89198344,-39.897,27.99,85,,40
F6,49.405,0.43128333,54.02633405,-63.04473912,18.20758354,-49.405,12.369,85,,41
F8,53.867,0.52806667,49.92652681,-68.3835903,-7.48508507,-53.867,-5.052,85,,42
FT8,71.948,0.53191667,26.20750353,-80.41001431,-8.50860488,-71.948,-5.745,85,,43
FC6,69.332,0.40823333,28.76282344,-76.24736451,24.16690699,-69.332,16.518,85,,44
FC4,62.425,0.28822222,30.95528495,-59.27497818,52.47139502,-62.425,38.12,85,,45
FC2,44.925,0.18118333,32.4361839,-32.35137713,71.59806123,-44.925,57.387,85,,46
FCz,0,0.12662222,32.92788364,0,78.36296625,0,67.208,85,,47
Cz,0,0,5.2E-15,0,85,0,90,85,,48
C2,90,0.13348333,2.12E-15,-34.60920316,77.63506332,-90,65.973,85,,49
C4,90,0.26666667,3.87E-15,-63.16731017,56.87610154,-90,42,85,,50
C6,90,0.3999,4.95E-15,-80.83154805,26.2918398,-90,18.018,85,,51
T8,90,0.53318333,5.18E-15,-84.53853864,-8.84508251,-90,-5.973,85,,52
TP8,108.107,0.53190556,-26.28477181,-80.38510212,-8.50565271,-108.107,-5.743,85,,53
CP6,110.668,0.40823333,-28.76282344,-76.24736451,24.16690699,-110.668,16.518,85,,54
CP4,117.575,0.28822222,-30.95528495,-59.27497818,52.47139502,-117.575,38.12,85,,55
CP2,135.075,0.18118333,-32.4361839,-32.35137713,71.59806123,-135.075,57.387,85,,56
P2,156.507,0.27878333,-59.87441277,-26.02543804,54.43097712,-156.507,39.819,85,,57
P4,140.103,0.3445,-57.58402611,-48.14259647,39.89198344,-140.103,27.99,85,,58
P6,130.595,0.43128333,-54.02633405,-63.04473912,18.20758354,-130.595,12.369,85,,59
P8,126.133,0.52806667,-49.92652681,-68.3835903,-7.48508507,-126.133,-5.052,85,,60
P10,126.687,0.66022222,-44.48410533,-59.70827408,-41.0010534,-126.687,-28.84,85,,61
PO8,144.142,0.52231111,-68.72089942,-49.66890403,-5.95297869,-144.142,-4.016,85,,62
PO4,157.539,0.42112778,-76.15276677,-31.4827968,20.84681317,-157.539,14.197,85,,63
O2,162.074,0.51498889,-80.78401377,-26.1330144,-4.00108454,-162.074,-2.698,85,,64
